state,visited
Alabama,100
Alaska,80
Arkansas,45
Arizona,30
California,70
Colorado,20
Connecticut,88
Delaware,66
Florida,33
Georgia,44
Hawaii,77
Iowa,84
Idaho,20
Illinois,88
Indiana,98
Kansas,84
Kentucky,53
Louisiana,40
Maine,23
Maryland,23
Massachusetts,54
Michigan,68
Minnesota,90
Missouri,23
Mississippi,93
Montana,68
North Carolina,78
North Dakota,79
Nebraska,90
New Hampshire,47
New Jersey,60
New Mexico,32
Nevada,48
New York,20
Ohio,95
Oklahoma,50
Oregon,60
Pennsylvania,55
Rhode Island,80
South Carolina,34
South Dakota,54
Tennessee,43
Texas,90
Utah,97
Virginia,89
Vermont,88
Washington,23
Wisconsin,76
West Virginia,45
Wyoming,60
